India	Banganapalli quartzite	9965	16.0	79.0	−73.5	53.6	3.7	0	1	1	0	1	1	1	5	589	543	635	Goutham et al. (age estimated only)	2006	Q1, Q4
India−North	MEAN Bundelkhand NW-SE dykes	MEAN	25.4	79.5	57.5	309.0	4.4	1	1	1	0	1	1	1	6	1979	1976	1982	HARALDVANGEN WORKING GROUP (Pradhan et al., 2012, Radhakrishna et al., 2013)	2014	Q4
India−North	Majhgawan Kimberlite—combined result	9277	24.7	80.1	36.8	212.5	12.2	1	0	1	0	1	0	0	3	1074	1060	1087	Gregory et al. (includes data from Miller and Hargraves, 1994)	2006	Q2, Q4
India−North	Mahoba Dykes	9363	25.2	80.0	38.7	229.5	12.4	1	1	1	0	1	0	0	4	1113	1106	1120	Pradhan et al.	2012	Q4
India−South	Harohalli Alkaline Dykes—An comp.	apx. 9857	12.6	77.4	−29.7	261.0	18.6	1	1	1	0	1	1	1	6	1192	1182	1202	Pradhan et al.	2008	Q4
India−South	Lakhna Dykes	apx. 9408	20.8	82.7	41.3	120.5	20.5	1	1	1	0	1	1	1	6	1466	1463	1469	Pisarevsky et al.	Pisarevsky et al., 2013a, Pisarevsky et al., 2013b	Q4
India−South−Dharwar	Dharwar Dykes 2.18 Ga—combined result	9563	13.7	77.7	67.5	84.5	22.0	1	0	1	C	1	0	1	5	2177	2172	2182	Belica et al. (includes data from Piispa et al., 2011)	2014	Q2
India−South−Singhbhum	Newer Dolerites 2.76 Ga	9904	22.5	86.8	14.0	78.0	11.0	1	1	1	0	1	1	0	5	2762	2760	2764	Kumar et al.	2017	Q4
Kalahari	Port Edward Pluton	9135	−31.0	30.3	−7.4	327.8	4.2	1	1	1	0	0	0	0	3	1004	999	1009	Gose et al.	2004	Q4, Q5
Kalahari	Sand River Dykes	438	−22.4	30.0	2.5	9.2	10.1	0	1	1	0	1	1	0	4	1876	1808	1944	Morgan	1985	Q1, Q4
Kalahari	Hartley large igneous province	9694	−27.2	23.4	22.7	328.6	11.7	1	1	1	0	1	0	0	4	1921	1915	1927	Alebouyeh Semami et al.	Salminen et al., 2016a, Salminen et al., 2016b	Q4
Kalahari	Waterberg UBS-II fm	9685	−24.5	28.0	−10.5	330.4	9.8	0	1	1	C	1	1	0	5	1990	1930	2050	de Kock et al.	2006	Q1
Kalahari−Grunehogna	Borgmassivet and Ritscherflya intrusions	9075	−71.9	357.2	8.3	54.5	3.3	1	1	1	0	1	0	1	5	1130	1120	1140	Jones et al.	2003	Q4
Kalahari−Kaapvaal	Phalaborwa pyroxenite	9920	−24.0	31.1	27.7	35.8	6.6	1	1	1	0	0	0	0	3	2060	2059	2061	Letts et al.	2011	Q4, Q5
Kalahari−Kaapvaal	Palabora igneous Cmplx., Grp. 1	833	−24.0	31.1	35.0	45.0	8.8	1	1	1	0	0	0	0	3	2060	2059	2061	Morgan and Briden	1981	Q4, Q5
Kalahari−Kaapvaal	Westonaria Basalts	NEW	−27.0	27.8	−17.1	47.9	18.5	1	0	1	0	1	0	0	3	2714	2706	2722	Strik et al.	2007	Q2, Q4
Kalahari−Kaapvaal	Hooggenoeg—Noisy Formation	NEW	−26.0	31.0	43.7	13.8	4.1	1	1	1	G	1	0	0	5	3456	3448	3463	Biggin et al.	2011	Complex magnetizations in study area; confirmation needed
Laurentia	Sept-Iles Layered Intrusion—A comp.	1752	50.2	293.5	−20.0	321.0	6.7	1	1	1	c	1	0	0	5	565	561	569	Tanczyk et al. (age: Higgins and Breemen, 1998)	1987	Complex magnetizations in study area; confirmation needed
