"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","LMA","HMA","Isoage","Met","Age references","Age","B","N","P","R%","D","I","alfa95","k","s","S","lambda","Theta","Plat","Plon","dp","dm","A95","1","2","3","4","5","6","AV","Authors","Title","Journal","Year","Vol","Pages","Comments","Recalculation","DOI"
"1000151","i","Salla baked gabbro","FI","","Baltica-Rest","66.8","28.5","1115","1172","1122 ± 7","a, g","APWP, Lauerma (1995)","1122","1","14*","N","0","62.0","74.0","6.0","50.0","11.5","19.7","60.2","29.8","63.0","100.0","9.0","11.0","9.9","0","1","1","1","1","0","4","Salminen, J., Pesonen, L.J., Mertanen, S., Vuollo, J., Airo, M.-L.","Palaeomagnetism of the Salla Diabase Dyke, northeastern Finland and its implication to the Baltica - Laurentia entity during the Mesoproterozoic","Geol. Soc. Lon. Sp. Pub.","2009","323","199-217","Isotopic age for dated dyke.","0","https://doi.org/10.1144/SP323.9"
"100015","i","Salla diabase dyke","FI","","Baltica-Rest","66.8","28.8","1115","1129","1122 ± 7","g","Lauerma (1995)","1122","13","170","N","0","42.2","73.9","5.0","76.0","9.3","15.9","60","30","71.0","113.0","8.1","9.0","8.5","1","1","1","1","1","0","5","Salminen, J., Pesonen, L.J., Mertanen, S., Vuollo, J., Airo, M.-L.","Palaeomagnetism of the Salla Diabase Dyke, northeastern Finland and its implication to the Baltica - Laurentia entity during the Mesoproterozoic","Geol. Soc. Lon. Sp. Pub.","2009","323","199-217","","0","https://doi.org/10.1144/SP323.9"
"2930","s","Graywacke, East Germany","DE","","Variscides","51.3","14.1","650","1600","","s","GPMDB 4.6","1125","1","5*","R","100","233.8","21.9","8.1","235.0","5.3","4.5","11.4","78.6","12.5","138.1","4.5","8.6","6.2","0","0","0","0","1","0","1","Rother, K.","Gesteins-und palaomagnetische Untersuchungen an Gesteinsproben vom Territorium der DDR","PhD Thesis, University of Berlin","1971","","92pp.","","0",""
"100092","i","Inspiration sills","CA","","Laurentia-Superior","50.0","271.0","1105","1145","1108.8 +4/-2, 1159 ± 33","a, g","Davis and Sutcliffe (1985)","1125","3","30","R","100","102.1","-70.3","4.1","41.3","12.6","20.3","54.4","144.4","44.5","218.0","6.0","6.9","6.4","1","1","1","0","1","0","4","Borradaile, G.J., Middleton, R.S.","Proterozoic paleomagnetism in the Nipigon Embayment of northern Ontario: Pillar Lake Lava, Waweig Troctolite and Gunflint Formation tuffs","Prec. Res.","2006","144","69-91","","0","https://doi.org/10.1016/j.precamres.2005.10.007"
"3757","s","Signal Hill and Blackhead sandstone","CA","","West Avalonia","47.0","307.0","650","1600","","s","GPMDB 4.6","1125","2","19","R","100","262.0","39.0","14.0","8.0","28.6","28.1","22","68","11.0","238.0","10.0","16.0","12.6","0","0","0","0","1","0","1","Nairn, A.E.M., Frost, C.V., Light, B.G.","Palaeomagnetism of certain rocks from Newfoundland","Nature","1959","183","596-597","","0","https://doi.org/10.1038/183596a0"
"2600","i","Aillik dykes","CA","","Laurentia-Nain","55.2","300.8","1050","1200","956 ± 16, 995 ± 16","a, d","APWP, GPMDB 4.6","1125","6","32","N","0","278.0","50.0","8.6","60.0","10.5","11.9","30.8","59.2","27.0","224.0","7.7","11.5","9.4","0","1","0","0","1","0","2","Fahrig, W.F., Larochelle, A.","Paleomagnetism of the Michael Gabbro and possible evidence of the rotation of Makkovik Subprovince","Can. J. Earth Sci.","1972","9","1287-1296","","0","https://doi.org/10.1139/e72-112"
"11277","i","Grønnedal-Íka country rock amphibolites (ovp.)","DK","S","Greenland / Gardar","61.2","312.0","1120","1140","","a","APWP","1130","?","23","N","0","343.6","79.1","4.8","40.0","12.8","23.7","68.9","21.1","79.7","277.7","8.8","9.2","9","0","0","1","0","1","0","2","Piper, J.D.A.","Palaeomagnetism of the Mesoproterozoic Grønnedal-Íka alkaline complex, Southwest Greenland","Prec. Res.","1994","69","51-60","","0","https://doi.org/10.1016/0301-9268(94)90078-7"
"9075","i","Borgmassivet intrusion","AN","","Grunehogna","-71.9","357.2","1120","1140","1130 ± 12, 1135","g","Jacobs et al. (1998)","1130","34","143","R","100","236.5","-3.6","4.8","27.9","15.3","12.1","1.8","91.8","8.3","54.5","3.3","3.3","3.3","1","1","1","0","1","0","4","Jones, D.L., Bates, M.P., Li , Z.X., Corner, B., Hodgkinson, G.","Paleomagnetic results from the ca. 1130 Ma Borgmassivet intrusions in the Ahlmannryggen region of Dronning Maud Land, Antarctica, and tectonic implications","Tectonophys.","2003","375","247-260","Comb. Peters et al. (1989) and Jones et al. (2003) single polarity data.","0","https://doi.org/10.1016/S0040-1951(03)00341-X"
"10973","i","Bunger Hills dykes of Mawson craton","AN","","Mawson","-66.2","100.7","1115","1143","1134 ± 9, 1131 ± 16, 1140","g, f, h","Stark et al. (2018b)","1134","3","18","N","0","71.2","68.5","13.2","87.9","8.6","13.5","51.8","38.2","-40.5","150.1","18.8","22.3","20.5","1","0","1","0","1","0","3","Liu, Y., Li, Z.-X., Pisarevsky, S.A., Kirscher, U., Mitchell, R.N., Stark, J.C., Clark, C., Hand, M.","First Precambrian palaeomagnetic data from the Mawson Craton (East Antarctica) and tectonic implications","Scientific Reports","2018","8","16403","This is a VGP. Suggested close connection of East Antarctica (Mawson) with NAC+WAC but with rotation relative to SAC.","0","https://doi.org/10.1038/s41598-018-34748-2"
"893","s","Ezelsfontein formation","ZA","","Kalahari","-28.4","21.6","1090","1180","1178 ± 18","e, corr.","Pettersson et al. (2007)","1135","1","3*","N","0","29.0","-11.0","16.9","54.0","11","8.9","5.6","95.6","55.0","77.0","8.7","17.1","12.2","0","0","1","0","1","0","2","Briden, J.C., Duff, B.A., Kroner, A.","Palaeomagnetism of the Koras Group, Northern Cape Province, South Africa","Prec. Res.","1979","10","43-57","Older than Florida Formation (Rb-Sr 1178 ± 18 Ma).","0","https://doi.org/10.1016/0301-9268(79)90018-4"
"7549","i","Mt. Isa dolerite dykes","AU","IAR","North Australia","-21.4","139.8","1139","1141","1140 ± 1, 1116 ± 12","g, e/f","Claoue-Long (2001)","1140","7","31","R","100","333.1","82.8","12.8","23.2","16.8","32.5","75.8","14.2","8.6","313.4","24.4","23.7","24","1","1","1","0","1","0","4","Tanaka, H., Idnurm, M.","Palaeomagnetism of Proterozoic mafic intrusions and host rocks of the Mount Isa inlier, Australia: revisited","Prec. Res.","1994","69","241-258","Includes data from 1928. Rb-Sr age that of Lakeview dolerite.","0","https://doi.org/10.1016/0301-9268(94)90089-2"
"11264","m","Keuruu dykes","FI","HT, sec.","Baltica-Rest","62.3","24.7","200","1140","","a","APWP","1140","18","42","N","0","9.1","51.6","8.7","16.6","19.9","23.2","32.2","57.8","61.9","188.1","8.1","11.8","9.8","0","1","1","0","1","0","3","Klein, R., Pesonen, L.J., Manttari, I., Heinonen, J.S.","A late Paleoproterozoic key pole for the Fennoscandian Shield: A paleomagnetic study of the Keuruu diabase dykes, Central Finland","Prec. Res.","2016","286","379-397","Either Permo-Triassic, Hercynian or Late Proterozoic (impact-generated) overprint","0","https://doi.org/10.1016/j.precamres.2016.10.013"
"10269","i","Keurusselkä structure, impact component","FI","B","Baltica-Rest","62.2","24.7","1134","1146","1140 ± 6","c","Schmieder et al. (2009)","1140","8","21","N","0","42.4","64.1","8.4","44.9","12.1","17.4","45.8","44.2","61.0","129.1","10.6","13.3","11.9","1","0","1","1","1","0","4","Raiskila, S., Salminen, J., Elbra, T., Pesonen, L.J.","Rock magnetic and paleomagnetic study of the Keurusselkä impact structure, central Finland","Meteoritics & Planet. Sci.","2011","11","1670-1687","","0","https://doi.org/10.1111/j.1945-5100.2011.01255.x"
